instant_x,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,hr,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,6,5,0.24,0.2576,0.75,0.0896,0,1,1
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,13,0.46,0.4545,0.72,0.2985,47,47,94
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,14,0.46,0.4545,0.72,0.2836,35,71,106
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,15,0.44,0.4394,0.77,0.2985,40,70,110
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,17,16,0.42,0.4242,0.82,0.2985,41,52,93
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,18,17,0.44,0.4394,0.82,0.2836,15,52,67
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,21,20,0.4,0.4091,0.87,0.2537,11,25,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,22,21,0.4,0.4091,0.87,0.194,3,31,34
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,23,22,0.4,0.4091,0.94,0.2239,11,17,28
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,24,23,0.46,0.4545,0.88,0.2985,15,24,39
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,25,0,0.46,0.4545,0.88,0.2985,4,13,17
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,26,1,0.44,0.4394,0.94,0.2537,1,16,17
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,27,2,0.42,0.4242,1.0,0.2836,1,8,9
